,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,description,rw-cat,rw_full,bs,bs_num,nj
4,3,fio-3.23,SeqR-4K-8-no-cpu-args,0.0,0.0,10495308.0,174918.0,43729.0,60001.0,0.0,0.0,0.0,0.0,109.0,27531.0,182.568958,63.831739,1.000000%=129,5.000000%=140,10.000000%=146,20.000000%=156,30.000000%=164,40.000000%=173,50.000000%=179,60.000000%=187,70.000000%=195,80.000000%=205,90.000000%=220,95.000000%=232,99.000000%=264,99.500000%=272,99.900000%=301,99.950000%=313,99.990000%=815,0%=0,0%=0,0%=0,109.0,27531.0,182.604723,63.831901,160416.0,181800.0,100.000000%,175111.932773,436.027577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.529583%,2.110417%,2623868.0,0.0,88.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.96%,2.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-4K-8,SeqR,Sequential Read-only,4K,4096.0,8
9,3,fio-3.23,SeqR-16K-8-no-cpu-args,0.0,0.0,31959936.0,532656.0,33291.0,60001.0,0.0,0.0,0.0,0.0,130.0,26506.0,239.906362,73.603236,1.000000%=168,5.000000%=185,10.000000%=195,20.000000%=209,30.000000%=220,40.000000%=230,50.000000%=238,60.000000%=246,70.000000%=254,80.000000%=268,90.000000%=284,95.000000%=296,99.000000%=325,99.500000%=337,99.900000%=362,99.950000%=378,99.990000%=765,0%=0,0%=0,0%=0,130.0,26506.0,239.944048,73.603366,505120.0,546656.0,100.000000%,533253.109244,888.780801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.447083%,2.088750%,1998865.0,0.0,122.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,63.72%,36.27%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-16K-8,SeqR,Sequential Read-only,16K,16384.0,8
14,3,fio-3.23,SeqR-1M-8-no-cpu-args,0.0,0.0,239290368.0,3988039.0,3894.0,60002.0,0.0,0.0,0.0,0.0,540.0,23139.0,2053.285588,254.286505,1.000000%=1695,5.000000%=1794,10.000000%=1859,20.000000%=1925,30.000000%=1974,40.000000%=2007,50.000000%=2039,60.000000%=2072,70.000000%=2113,80.000000%=2146,90.000000%=2244,95.000000%=2375,99.000000%=2572,99.500000%=2637,99.900000%=2998,99.950000%=4079,99.990000%=14352,0%=0,0%=0,0%=0,540.0,23139.0,2053.31769,254.287021,3555328.0,4114432.0,100.000000%,3992997.647059,8141.398811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.045625%,0.789577%,233722.0,0.0,1542.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,36.75%,63.19%,0.04%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-1M-8,SeqR,Sequential Read-only,1M,1048576.0,8
19,3,fio-3.23,SeqR-2M-8-no-cpu-args,0.0,0.0,225032192.0,3750349.0,1831.0,60003.0,0.0,0.0,0.0,0.0,1189.0,84164.0,4367.175396,548.336137,1.000000%=3817,5.000000%=3981,10.000000%=4079,20.000000%=4177,30.000000%=4227,40.000000%=4292,50.000000%=4358,60.000000%=4358,70.000000%=4423,80.000000%=4554,90.000000%=4685,95.000000%=4816,99.000000%=5013,99.500000%=5275,99.900000%=8224,99.950000%=10289,99.990000%=23461,0%=0,0%=0,0%=0,1189.0,84164.0,4367.207708,548.336568,2654208.0,3977216.0,100.000000%,3754310.991597,15120.112134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.019375%,0.676658%,219805.0,0.0,1415.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,5.27%,94.64%,0.04%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-2M-8,SeqR,Sequential Read-only,2M,2097152.0,8
24,3,fio-3.23,SeqR-4M-8-no-cpu-args,0.0,0.0,235479040.0,3924258.0,958.0,60006.0,0.0,0.0,0.0,0.0,2973.0,33659.0,8342.390117,511.082338,1.000000%=7766,5.000000%=7962,10.000000%=8028,20.000000%=8159,30.000000%=8224,40.000000%=8224,50.000000%=8290,60.000000%=8355,70.000000%=8454,80.000000%=8454,90.000000%=8585,95.000000%=8716,99.000000%=9109,99.500000%=9633,99.900000%=13434,99.950000%=19791,99.990000%=28180,0%=0,0%=0,0%=0,2973.0,33659.0,8342.421893,511.082959,2883584.0,4005888.0,100.000000%,3928924.504202,13601.586924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.011041%,0.568513%,230000.0,0.0,3848.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,99.64%,0.31%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-4M-8,SeqR,Sequential Read-only,4M,4194304.0,8
29,3,fio-3.23,SeqRH-4K-8-no-cpu-args,0.0,0.0,7953584.0,132557.0,33139.0,60001.0,0.0,0.0,0.0,0.0,110.0,52596.0,194.478904,264.716829,1.000000%=128,5.000000%=138,10.000000%=146,20.000000%=160,30.000000%=171,40.000000%=179,50.000000%=187,60.000000%=195,70.000000%=203,80.000000%=214,90.000000%=232,95.000000%=248,99.000000%=301,99.500000%=342,99.900000%=610,99.950000%=1433,99.990000%=14221,0%=0,0%=0,0%=0,110.0,52596.0,194.519031,264.717043,58784.0,149728.0,100.000000%,132636.773109,1944.252225,1991192.0,33185.0,8296.0,60001.0,0.0,0.0,0.0,0.0,111.0,50979.0,183.09705,419.718409,1.000000%=129,5.000000%=136,10.000000%=140,20.000000%=146,30.000000%=152,40.000000%=156,50.000000%=162,60.000000%=166,70.000000%=175,80.000000%=187,90.000000%=207,95.000000%=234,99.000000%=362,99.500000%=464,99.900000%=2375,99.950000%=7110,99.990000%=22151,0%=0,0%=0,0%=0,111.0,50979.0,183.138047,419.718483,15008.0,39176.0,100.000000%,33211.89916,502.407323,0.630625%,1.911042%,2487801.0,0.0,115.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.27%,4.54%,0.09%,0.02%,0.03%,0.02%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-4K-8,SeqRH,Sequential Read-heavy 4:1,4K,4096.0,8
34,3,fio-3.23,SeqRH-16K-8-no-cpu-args,0.0,0.0,24760416.0,412666.0,25791.0,60001.0,0.0,0.0,0.0,0.0,125.0,69041.0,248.332666,391.589641,1.000000%=162,5.000000%=179,10.000000%=191,20.000000%=205,30.000000%=218,40.000000%=226,50.000000%=236,60.000000%=246,70.000000%=257,80.000000%=272,90.000000%=292,95.000000%=313,99.000000%=366,99.500000%=403,99.900000%=815,99.950000%=4112,99.990000%=20840,0%=0,0%=0,0%=0,125.0,69041.0,248.367635,391.590944,241184.0,458400.0,100.000000%,412973.983193,5593.296053,6200944.0,103347.0,6459.0,60001.0,0.0,0.0,0.0,0.0,135.0,55993.0,241.095551,531.404397,1.000000%=162,5.000000%=175,10.000000%=181,20.000000%=189,30.000000%=197,40.000000%=205,50.000000%=214,60.000000%=224,70.000000%=234,80.000000%=246,90.000000%=268,95.000000%=296,99.000000%=444,99.500000%=610,99.900000%=5537,99.950000%=10813,99.990000%=26083,0%=0,0%=0,0%=0,135.0,55993.0,241.177371,531.405668,60384.0,122880.0,100.000000%,103393.613445,1492.62738,0.806875%,2.221875%,1935143.0,0.0,114.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,67.42%,32.27%,0.15%,0.03%,0.04%,0.02%,0.03%,0.02%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-16K-8,SeqRH,Sequential Read-heavy 4:1,16K,16384.0,8
39,3,fio-3.23,SeqRH-1M-8-no-cpu-args,0.0,0.0,219880448.0,3663697.0,3577.0,60016.0,0.0,0.0,0.0,0.0,497.0,53945.0,1747.056346,1709.546878,1.000000%=700,5.000000%=929,10.000000%=1089,20.000000%=1286,30.000000%=1417,40.000000%=1515,50.000000%=1630,60.000000%=1712,70.000000%=1826,80.000000%=1941,90.000000%=2113,95.000000%=2277,99.000000%=4685,99.500000%=13697,99.900000%=28966,99.950000%=33423,99.990000%=43778,0%=0,0%=0,0%=0,497.0,53945.0,1747.095068,1709.547657,2379776.0,4552704.0,100.000000%,3669465.277311,43265.073154,54620160.0,910093.0,888.0,60016.0,0.0,0.0,0.0,0.0,773.0,45337.0,1733.093649,1063.806504,1.000000%=987,5.000000%=1122,10.000000%=1204,20.000000%=1335,30.000000%=1433,40.000000%=1531,50.000000%=1646,60.000000%=1744,70.000000%=1875,80.000000%=2023,90.000000%=2211,95.000000%=2375,99.000000%=2801,99.500000%=3194,99.900000%=19529,99.950000%=23461,99.990000%=38535,0%=0,0%=0,0%=0,774.0,45337.0,1733.153947,1063.806408,532480.0,1232896.0,100.000000%,911308.369748,16342.74384,2.623016%,0.934336%,268128.0,0.0,102.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,1.32%,4.51%,77.26%,15.96%,0.36%,0.36%,0.23%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-1M-8,SeqRH,Sequential Read-heavy 4:1,1M,1048576.0,8
44,3,fio-3.23,SeqRH-2M-8-no-cpu-args,0.0,0.0,264235008.0,4403770.0,2150.0,60002.0,0.0,0.0,0.0,0.0,924.0,80719.0,2846.456979,2430.129079,1.000000%=1171,5.000000%=1482,10.000000%=1728,20.000000%=2056,30.000000%=2277,40.000000%=2473,50.000000%=2637,60.000000%=2801,70.000000%=2965,80.000000%=3162,90.000000%=3391,95.000000%=3620,99.000000%=13434,99.500000%=20578,99.900000%=35913,99.950000%=42205,99.990000%=55312,0%=0,0%=0,0%=0,924.0,80719.0,2846.502971,2430.131032,2920448.0,5402624.0,100.000000%,4409670.991597,57720.537654,66377728.0,1106258.0,540.0,60002.0,0.0,0.0,0.0,0.0,1766.0,56819.0,3124.379017,1466.976818,1.000000%=2113,5.000000%=2310,10.000000%=2441,20.000000%=2605,30.000000%=2736,40.000000%=2867,50.000000%=2998,60.000000%=3129,70.000000%=3260,80.000000%=3457,90.000000%=3719,95.000000%=3948,99.000000%=4554,99.500000%=8224,99.900000%=26345,99.950000%=34865,99.990000%=43253,0%=0,0%=0,0%=0,1767.0,56819.0,3124.470936,1466.976437,610304.0,1572864.0,100.000000%,1107985.210084,23115.500479,2.243532%,0.708747%,322924.0,0.0,112.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,14.21%,83.10%,1.56%,0.64%,0.45%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-2M-8,SeqRH,Sequential Read-heavy 4:1,2M,2097152.0,8
49,3,fio-3.23,SeqRH-4M-8-no-cpu-args,0.0,0.0,233672704.0,3894090.0,950.0,60007.0,0.0,0.0,0.0,0.0,2025.0,109948.0,6665.913679,3941.464205,1.000000%=2703,5.000000%=3522,10.000000%=4227,20.000000%=5079,30.000000%=5603,40.000000%=5996,50.000000%=6389,60.000000%=6717,70.000000%=7045,80.000000%=7372,90.000000%=7897,95.000000%=8454,99.000000%=25034,99.500000%=34865,99.900000%=53215,99.950000%=62128,99.990000%=81264,0%=0,0%=0,0%=0,2025.0,109948.0,6665.960731,3941.468349,2547712.0,5087232.0,100.000000%,3902182.142857,57577.607726,59019264.0,983539.0,240.0,60007.0,0.0,0.0,0.0,0.0,3196.0,53411.0,6265.589181,2459.533412,1.000000%=4014,5.000000%=4423,10.000000%=4751,20.000000%=5144,30.000000%=5472,40.000000%=5734,50.000000%=5996,60.000000%=6258,70.000000%=6586,80.000000%=6914,90.000000%=7438,95.000000%=7897,99.000000%=17170,99.500000%=23986,99.900000%=38535,99.950000%=41156,99.990000%=50593,0%=0,0%=0,0%=0,3196.0,53411.0,6265.768584,2459.533936,417792.0,1548288.0,100.000000%,986129.008403,27786.402102,2.016383%,0.687683%,289305.0,0.0,99.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.71%,90.60%,1.37%,1.20%,0.12%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-4M-8,SeqRH,Sequential Read-heavy 4:1,4M,4194304.0,8
54,3,fio-3.23,SeqBal-4K-8-no-cpu-args,0.0,0.0,5110280.0,85169.0,21292.0,60001.0,0.0,0.0,0.0,0.0,115.0,40175.0,210.404028,232.785346,1.000000%=134,5.000000%=148,10.000000%=162,20.000000%=181,30.000000%=187,40.000000%=195,50.000000%=201,60.000000%=207,70.000000%=218,80.000000%=228,90.000000%=248,95.000000%=268,99.000000%=329,99.500000%=382,99.900000%=774,99.950000%=2506,99.990000%=13172,0%=0,0%=0,0%=0,115.0,40175.0,210.444877,232.785502,65408.0,95032.0,100.000000%,85262.983193,661.043159,5107324.0,85120.0,21280.0,60001.0,0.0,0.0,0.0,0.0,110.0,26829.0,163.687184,136.77855,1.000000%=125,5.000000%=132,10.000000%=134,20.000000%=140,30.000000%=144,40.000000%=148,50.000000%=154,60.000000%=158,70.000000%=164,80.000000%=173,90.000000%=193,95.000000%=218,99.000000%=317,99.500000%=354,99.900000%=618,99.950000%=1056,99.990000%=5931,0%=0,0%=0,0%=0,110.0,26829.0,163.728136,136.778591,64272.0,94240.0,100.000000%,85220.042017,668.533299,0.821667%,1.929583%,2554460.0,0.0,119.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,94.10%,5.72%,0.09%,0.02%,0.03%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-4K-8,SeqBal,Sequential Balanced 1:1,4K,4096.0,8
59,3,fio-3.23,SeqBal-16K-8-no-cpu-args,0.0,0.0,15176688.0,252940.0,15808.0,60001.0,0.0,0.0,0.0,0.0,135.0,46216.0,291.641166,417.501225,1.000000%=179,5.000000%=205,10.000000%=220,20.000000%=236,30.000000%=250,40.000000%=261,50.000000%=272,60.000000%=284,70.000000%=301,80.000000%=317,90.000000%=346,95.000000%=366,99.000000%=436,99.500000%=509,99.900000%=3620,99.950000%=10027,99.990000%=19529,0%=0,0%=0,0%=0,135.0,46216.0,291.676647,417.501762,191360.0,294944.0,100.000000%,253197.714286,2637.732426,15175008.0,252912.0,15807.0,60001.0,0.0,0.0,0.0,0.0,137.0,32360.0,210.07113,198.170956,1.000000%=156,5.000000%=164,10.000000%=168,20.000000%=177,30.000000%=183,40.000000%=191,50.000000%=197,60.000000%=205,70.000000%=218,80.000000%=232,90.000000%=250,95.000000%=268,99.000000%=358,99.500000%=403,99.900000%=749,99.950000%=1531,99.990000%=10551,0%=0,0%=0,0%=0,137.0,32360.0,210.146563,198.171531,187040.0,292608.0,100.000000%,253158.966387,2596.674782,1.168750%,2.089792%,1897044.0,0.0,112.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,59.93%,39.69%,0.21%,0.04%,0.05%,0.02%,0.03%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-16K-8,SeqBal,Sequential Balanced 1:1,16K,16384.0,8
64,3,fio-3.23,SeqBal-1M-8-no-cpu-args,0.0,0.0,186725376.0,3111985.0,3039.0,60002.0,0.0,0.0,0.0,0.0,517.0,69078.0,1256.969919,1654.479504,1.000000%=643,5.000000%=708,10.000000%=765,20.000000%=839,30.000000%=913,40.000000%=978,50.000000%=1044,60.000000%=1122,70.000000%=1204,80.000000%=1318,90.000000%=1499,95.000000%=1679,99.000000%=8224,99.500000%=14352,99.900000%=23986,99.950000%=27918,99.990000%=38535,0%=0,0%=0,0%=0,517.0,69078.0,1257.023749,1654.479502,2088960.0,3805184.0,100.000000%,3115638.0,38988.479398,186011648.0,3100090.0,3027.0,60002.0,0.0,0.0,0.0,0.0,731.0,39127.0,1195.51102,545.872213,1.000000%=847,5.000000%=905,10.000000%=946,20.000000%=995,30.000000%=1044,40.000000%=1089,50.000000%=1138,60.000000%=1187,70.000000%=1253,80.000000%=1335,90.000000%=1466,95.000000%=1581,99.000000%=1859,99.500000%=1990,99.900000%=8224,99.950000%=14614,99.990000%=23199,0%=0,0%=0,0%=0,731.0,39127.0,1195.586031,545.872527,2226176.0,3670016.0,100.000000%,3104898.87395,35237.000475,7.044123%,0.908328%,364068.0,0.0,103.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.31%,27.46%,66.79%,0.64%,0.34%,0.35%,0.11%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-1M-8,SeqBal,Sequential Balanced 1:1,1M,1048576.0,8
69,3,fio-3.23,SeqBal-4M-8-no-cpu-args,0.0,0.0,133152768.0,2217882.0,541.0,60036.0,0.0,0.0,0.0,0.0,2857.0,116051.0,7742.869902,4651.393259,1.000000%=3686,5.000000%=4292,10.000000%=4751,20.000000%=5472,30.000000%=5996,40.000000%=6520,50.000000%=7045,60.000000%=7503,70.000000%=8093,80.000000%=8847,90.000000%=9895,95.000000%=11468,99.000000%=29753,99.500000%=38010,99.900000%=55836,99.950000%=68681,99.990000%=91750,0%=0,0%=0,0%=0,2857.0,116052.0,7742.922666,4651.396683,1425408.0,3047424.0,100.000000%,2221821.848739,38713.337838,132325376.0,2204100.0,538.0,60036.0,0.0,0.0,0.0,0.0,3707.0,63612.0,6276.916976,1594.473442,1.000000%=4358,5.000000%=4685,10.000000%=4882,20.000000%=5210,30.000000%=5537,40.000000%=5799,50.000000%=6062,60.000000%=6324,70.000000%=6717,80.000000%=7110,90.000000%=7766,95.000000%=8355,99.000000%=10027,99.500000%=11468,99.900000%=25559,99.950000%=31064,99.990000%=37486,0%=0,0%=0,0%=0,3707.0,63612.0,6277.061022,1594.472906,1474560.0,3022848.0,100.000000%,2210118.991597,36449.608113,5.275887%,0.776999%,259333.0,0.0,98.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.38%,93.48%,3.86%,1.20%,0.08%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-4M-8,SeqBal,Sequential Balanced 1:1,4M,4194304.0,8
74,3,fio-3.23,SeqWH-4K-8-no-cpu-args,0.0,0.0,1854296.0,30904.0,7726.0,60001.0,0.0,0.0,0.0,0.0,123.0,108257.0,273.504338,668.228313,1.000000%=158,5.000000%=181,10.000000%=195,20.000000%=211,30.000000%=224,40.000000%=236,50.000000%=248,60.000000%=261,70.000000%=272,80.000000%=288,90.000000%=313,95.000000%=342,99.000000%=481,99.500000%=626,99.900000%=5603,99.950000%=11599,99.990000%=31064,0%=0,0%=0,0%=0,123.0,108257.0,273.540476,668.228406,13200.0,35632.0,100.000000%,30933.310924,426.222217,7406660.0,123442.0,30860.0,60001.0,0.0,0.0,0.0,0.0,118.0,64932.0,189.414235,203.629208,1.000000%=138,5.000000%=146,10.000000%=150,20.000000%=158,30.000000%=164,40.000000%=171,50.000000%=175,60.000000%=181,70.000000%=189,80.000000%=197,90.000000%=220,95.000000%=254,99.000000%=391,99.500000%=493,99.900000%=1286,99.950000%=1908,99.990000%=8355,0%=0,0%=0,0%=0,118.0,64932.0,189.469299,203.629534,52520.0,138112.0,100.000000%,123570.890756,1580.668101,0.904583%,2.325625%,2317105.0,0.0,118.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,85.88%,13.56%,0.32%,0.08%,0.09%,0.03%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqWH-4K-8,SeqWH,Sequential Write-heavy 1:4,4K,4096.0,8
79,3,fio-3.23,SeqWH-16K-8-no-cpu-args,0.0,0.0,6976656.0,116267.0,7266.0,60005.0,0.0,0.0,0.0,0.0,128.0,79964.0,366.273975,715.414185,1.000000%=171,5.000000%=209,10.000000%=230,20.000000%=259,30.000000%=284,40.000000%=309,50.000000%=342,60.000000%=370,70.000000%=395,80.000000%=423,90.000000%=468,95.000000%=505,99.000000%=626,99.500000%=749,99.900000%=5799,99.950000%=13172,99.990000%=35389,0%=0,0%=0,0%=0,128.0,79964.0,366.309239,715.414301,72992.0,140480.0,100.000000%,116445.848739,1367.81999,27852944.0,464177.0,29011.0,60005.0,0.0,0.0,0.0,0.0,119.0,31821.0,180.742261,186.805032,1.000000%=136,5.000000%=142,10.000000%=144,20.000000%=150,30.000000%=154,40.000000%=158,50.000000%=164,60.000000%=173,70.000000%=187,80.000000%=201,90.000000%=218,95.000000%=236,99.000000%=333,99.500000%=387,99.900000%=1155,99.950000%=1810,99.990000%=9764,0%=0,0%=0,0%=0,119.0,31821.0,180.787524,186.805254,298080.0,551392.0,100.000000%,464989.310924,5207.639899,1.488321%,1.619570%,2176907.0,0.0,115.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.70%,18.01%,1.08%,0.06%,0.08%,0.03%,0.02%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqWH-16K-8,SeqWH,Sequential Write-heavy 1:4,16K,16384.0,8
